taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	tRNA-Ala	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	unknown.39	unknown.40	unknown.41	unknown.42	unknown.43	unknown.44	unknown.45	unknown.46	unknown.47	unknown.48	unknown.49	unknown.50	unknown.51	unknown.52	unknown.53	unknown.54	unknown.55	unknown.56	fusA	unknown.57	unknown.58	unknown.59	unknown.60	unknown.61	unknown.62	unknown.63	unknown.64	unknown.65	unknown.66	unknown.67	unknown.68	unknown.69	unknown.70	unknown.71	unknown.72	unknown.73	unknown.74	unknown.75	unknown.76	unknown.77	unknown.78	unknown.79	fructokinase	unknown.80	unknown.81	unknown.82	unknown.83	unknown.84	unknown.85	unknown.86	
Cercopithecus solatus													2015-11-10-sim-6_L0VNAN																			2015-11-10-sim-6_FR4H9P																											2015-11-10-sim-6_XH1E4X																																
Cercopithecus ascanius																																																		2015-11-10-sim-6_RLWI6X							2015-11-10-sim-6_JMH54V		2015-11-10-sim-6_JRF4WU																																
Callithrix penicillata												2015-11-10-sim-6_9ML7YP							2015-11-10-sim-6_D6Y8K9																																																																							2015-11-10-sim-6_HX27UQ	
Hylobates pileatus																																																											2015-11-10-sim-6_N2GGX1								2015-11-10-sim-6_SQTLZM																							2015-11-10-sim-6_6Y8TTH	
Eulemur rubriventer						2015-11-10-sim-6_3BGH7A																																	2015-11-10-sim-6_J4EL56																																																			2015-11-10-sim-6_ZFSPPI	
Eulemur mongoz																																2015-11-10-sim-6_D3JGFU														2015-11-10-sim-6_7UWS4D													2015-11-10-sim-6_QGOSQI																																
Eulemur coronatus													2015-11-10-sim-6_JJSAT2			2015-11-10-sim-6_J57U9Z																																																																										2015-11-10-sim-6_KYXGTG	
Ateles paniscus												2015-11-10-sim-6_GZVJ3M																																							2015-11-10-sim-6_NS2RSE		2015-11-10-sim-6_SCR9UR																																						
Ovagluscis rsuldilephis																															2015-11-10-sim-6_9T5LH0	2015-11-10-sim-6_8AG5RG																														2015-11-10-sim-6_FEZ6VS																													
Pan paniscus																																												2015-11-10-sim-6_Y800N7																					2015-11-10-sim-6_2DK6SF																			2015-11-10-sim-6_PQTUUL							
Alouatta sara																						2015-11-10-sim-6_RV2Y5F									2015-11-10-sim-6_GDY1ZU																																																											2015-11-10-sim-6_ZFFY50	
Chlorocebus aethiops										2015-11-10-sim-6_75CKUN					2015-11-10-sim-6_PKGHAS																																																																											2015-11-10-sim-6_I81T3N	
Phaner furcifer																2015-11-10-sim-6_IIIVJL															2015-11-10-sim-6_XOWKYN																																																											2015-11-10-sim-6_Z64H5D	
Euoticus elegantulus												2015-11-10-sim-6_61SUG0				2015-11-10-sim-6_DJZ1FO																																																																										2015-11-10-sim-6_8O5AIO	
Hoolock leuconedys																																				2015-11-10-sim-6_H83U0W																							2015-11-10-sim-6_QBI9UA																															2015-11-10-sim-6_U8WR7I	
Nasalis larvatus																																																		2015-11-10-sim-6_4KL65G										2015-11-10-sim-6_KLQSUY																								2015-11-10-sim-6_99FDWE							
Nomascus siki																																																																										2015-11-10-sim-6_9N9RIC						2015-11-10-sim-6_M3QXDD										2015-11-10-sim-6_J4XBMZ	
Rungwecebus kipunji																								2015-11-10-sim-6_QV499R						2015-11-10-sim-6_6BET27								2015-11-10-sim-6_94I1H9																																							2015-11-10-sim-6_6T694Z														
Pygathrix nemaeus																		2015-11-10-sim-6_D97QVE					2015-11-10-sim-6_30RLWL																																				2015-11-10-sim-6_ZI9381			2015-11-10-sim-6_TLEKXY																													
