taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	
Varecia variegata					2015-11-19-PRIMATES-2_KID789		2015-11-19-PRIMATES-2_H417GS					2015-11-19-PRIMATES-2_01517Y	2015-11-19-PRIMATES-2_5P3AG6	
Galago gallarum					2015-11-19-PRIMATES-2_13QO6K				2015-11-19-PRIMATES-2_H7U7SL	2015-11-19-PRIMATES-2_NR40MA			2015-11-19-PRIMATES-2_E4BSFT	
Varecia rubra	2015-11-19-PRIMATES-2_817JOW		2015-11-19-PRIMATES-2_66SN5R						2015-11-19-PRIMATES-2_6S9YM2	2015-11-19-PRIMATES-2_U8UJ49		2015-11-19-PRIMATES-2_8N5TBL		
Colobus angolensis		2015-11-19-PRIMATES-2_JV2H8H						2015-11-19-PRIMATES-2_DWUKIP	2015-11-19-PRIMATES-2_T808L8	2015-11-19-PRIMATES-2_CWB3IG				
Nomascus hainanus	2015-11-19-PRIMATES-2_QDZVFN						2015-11-19-PRIMATES-2_A6YNND	2015-11-19-PRIMATES-2_SRD34G			2015-11-19-PRIMATES-2_01OAE4	2015-11-19-PRIMATES-2_88C084		
Mandrillus sphinx	2015-11-19-PRIMATES-2_VDLV15		2015-11-19-PRIMATES-2_GM7AYH	2015-11-19-PRIMATES-2_VD2KCA					2015-11-19-PRIMATES-2_3ZPYLR	2015-11-19-PRIMATES-2_Q953E6				
Mandrillus leucophaeus	2015-11-19-PRIMATES-2_IIUE2N			2015-11-19-PRIMATES-2_RVRZW1	2015-11-19-PRIMATES-2_3VVJHO	2015-11-19-PRIMATES-2_L6H11V								
Trachypithecus auratus	2015-11-19-PRIMATES-2_527XAN	2015-11-19-PRIMATES-2_723C81		2015-11-19-PRIMATES-2_60NDK2					2015-11-19-PRIMATES-2_BUQXL6	2015-11-19-PRIMATES-2_82G73X			2015-11-19-PRIMATES-2_SI29VE	
Cheirogaleus major					2015-11-19-PRIMATES-2_NUY1UG				2015-11-19-PRIMATES-2_2M3OMN			2015-11-19-PRIMATES-2_I33NPF		
Nomascus nasutus		2015-11-19-PRIMATES-2_RGE8E1	2015-11-19-PRIMATES-2_A26VGW					2015-11-19-PRIMATES-2_GA131R	2015-11-19-PRIMATES-2_OKOVZ7	2015-11-19-PRIMATES-2_L3CFXL	2015-11-19-PRIMATES-2_OM0IAR	2015-11-19-PRIMATES-2_5N3NLF	2015-11-19-PRIMATES-2_W1CDUG	
Pygathrix nemaeus	2015-11-19-PRIMATES-2_R0B206	2015-11-19-PRIMATES-2_LY20WD	2015-11-19-PRIMATES-2_13X3JR		2015-11-19-PRIMATES-2_4N8K9R		2015-11-19-PRIMATES-2_7SGD8R	2015-11-19-PRIMATES-2_BZB4D0		2015-11-19-PRIMATES-2_01ARHE			2015-11-19-PRIMATES-2_NT0ZPM	
Cheirogaleus crossleyi					2015-11-19-PRIMATES-2_JWDX44				2015-11-19-PRIMATES-2_DNT5KT	2015-11-19-PRIMATES-2_YWUXLJ				
Saimiri oerstedii			2015-11-19-PRIMATES-2_XEQL92				2015-11-19-PRIMATES-2_K5IID0		2015-11-19-PRIMATES-2_SQWIJ2					
Loris tardigradus		2015-11-19-PRIMATES-2_598J9I	2015-11-19-PRIMATES-2_LRTE21	2015-11-19-PRIMATES-2_7YURX2	2015-11-19-PRIMATES-2_6RUNSG			2015-11-19-PRIMATES-2_7PM1YE	2015-11-19-PRIMATES-2_OG7WU6				2015-11-19-PRIMATES-2_JCBEPV	
Procolobus verus		2015-11-19-PRIMATES-2_C5DCR2		2015-11-19-PRIMATES-2_V87BYM	2015-11-19-PRIMATES-2_1LTLHQ				2015-11-19-PRIMATES-2_QPPZWJ	2015-11-19-PRIMATES-2_DTWYSA			2015-11-19-PRIMATES-2_AYW0E8	
Pan paniscus					2015-11-19-PRIMATES-2_690LD0	2015-11-19-PRIMATES-2_GJXYAG	2015-11-19-PRIMATES-2_Z66DO7		2015-11-19-PRIMATES-2_N9XU4B		2015-11-19-PRIMATES-2_8RE3KQ	2015-11-19-PRIMATES-2_T02RAH		
Leontopithecus chrysomelas		2015-11-19-PRIMATES-2_RXAALW				2015-11-19-PRIMATES-2_NY2UTK	2015-11-19-PRIMATES-2_RU3G69	2015-11-19-PRIMATES-2_M86G88		2015-11-19-PRIMATES-2_YM9Q0Q			2015-11-19-PRIMATES-2_XOQ1GA	
Nycticebus bengalensis		2015-11-19-PRIMATES-2_YZXFN4			2015-11-19-PRIMATES-2_J8JYQT				2015-11-19-PRIMATES-2_KIOWR3			2015-11-19-PRIMATES-2_1RCU4T	2015-11-19-PRIMATES-2_GD56VI	
Mirza zaza		2015-11-19-PRIMATES-2_FVV9R8			2015-11-19-PRIMATES-2_A2EZPP		2015-11-19-PRIMATES-2_YS5S2W	2015-11-19-PRIMATES-2_NLWOLD		2015-11-19-PRIMATES-2_6G03Y8				
Avahi cleesei	2015-11-19-PRIMATES-2_F1FFJB			2015-11-19-PRIMATES-2_SUTHAA	2015-11-19-PRIMATES-2_DH0YXG		2015-11-19-PRIMATES-2_Q6GWCQ		2015-11-19-PRIMATES-2_SUOA3N			2015-11-19-PRIMATES-2_YU80UC	2015-11-19-PRIMATES-2_6SOQ1D	
Papio papio			2015-11-19-PRIMATES-2_5SZDNE	2015-11-19-PRIMATES-2_MI1AFJ	2015-11-19-PRIMATES-2_WG3A7A		2015-11-19-PRIMATES-2_F22F4B					2015-11-19-PRIMATES-2_W4FEHB	2015-11-19-PRIMATES-2_7N1QIS	
