taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	rbcL	unknown.20	unknown.21	16S-ribosomal-RNA	unknown.22	16S-ribosomal-RNA.1	unknown.23	unknown.24	16S-ribosomal-RNA.2	unknown.25	16S-ribosomal-RNA.3	16S-ribosomal-RNA.4	unknown.26	unknown.27	unknown.28	unknown.29	COI	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	unknown.39	unknown.40	unknown.41	unknown.42	unknown.43	unknown.44	unknown.45	unknown.46	unknown.47	unknown.48	unknown.49	unknown.50	unknown.51	unknown.52	unknown.53	unknown.54	unknown.55	unknown.56	unknown.57	unknown.58	unknown.59	unknown.60	unknown.61	unknown.62	unknown.63	unknown.64	unknown.65	unknown.66	unknown.67	unknown.68	unknown.69	unknown.70	unknown.71	unknown.72	unknown.73	unknown.74	unknown.75	unknown.76	unknown.77	unknown.78	unknown.79	unknown.80	unknown.81	unknown.82	unknown.83	unknown.84	unknown.85	unknown.86	unknown.87	unknown.88	unknown.89	unknown.90	unknown.91	unknown.92	unknown.93	unknown.94	
Cebus nigritus												2015-11-19-PRIMATES-NOBIN-1_8U7S88																																																																								2015-11-19-PRIMATES-NOBIN-1_09HCPC																			
Microcebus gerpi					2015-11-19-PRIMATES-NOBIN-1_AO43K9																											2015-11-19-PRIMATES-NOBIN-1_CVUV26																																																																							
Microcebus lokobensis					2015-11-19-PRIMATES-NOBIN-1_ZJOAC0																											2015-11-19-PRIMATES-NOBIN-1_MF80HW																																																																							
Galago gallarum			2015-11-19-PRIMATES-NOBIN-1_A9H7PA																										2015-11-19-PRIMATES-NOBIN-1_0RCQWK																																																																										
Macaca munzala											2015-11-19-PRIMATES-NOBIN-1_L8DGJS			2015-11-19-PRIMATES-NOBIN-1_E7HG63																																																																																									
Indri indri																													2015-11-19-PRIMATES-NOBIN-1_VEWK7G													2015-11-19-PRIMATES-NOBIN-1_NWSBTU																																																													
Callithrix saterei																																											2015-11-19-PRIMATES-NOBIN-1_MYYDZ4																															2015-11-19-PRIMATES-NOBIN-1_8FA6WH																													
Callithrix rondoni																																																																										2015-11-19-PRIMATES-NOBIN-1_YZY4Z4						2015-11-19-PRIMATES-NOBIN-1_YFX519																							
Nomascus nasutus																		2015-11-19-PRIMATES-NOBIN-1_RFCEMV																												2015-11-19-PRIMATES-NOBIN-1_0YUMXI																																																									
Saguinus leucopus																																																																										2015-11-19-PRIMATES-NOBIN-1_LMPSK5																								2015-11-19-PRIMATES-NOBIN-1_THTP1S					
Cheirogaleus sibreei																										2015-11-19-PRIMATES-NOBIN-1_R1YA3T																						2015-11-19-PRIMATES-NOBIN-1_2GP3YL																																																							
Avahi unicolor															2015-11-19-PRIMATES-NOBIN-1_VDLV15																											2015-11-19-PRIMATES-NOBIN-1_OPBEDH																																																													
Avahi cleesei															2015-11-19-PRIMATES-NOBIN-1_LWIV92																											2015-11-19-PRIMATES-NOBIN-1_UEENJZ																																																													
Chlorocebus cynosuros														2015-11-19-PRIMATES-NOBIN-1_Z146W2						2015-11-19-PRIMATES-NOBIN-1_JBOPIL																																																		2015-11-19-PRIMATES-NOBIN-1_C8JMNX																																	
Galagoides zanzibaricus			2015-11-19-PRIMATES-NOBIN-1_7H06BT																										2015-11-19-PRIMATES-NOBIN-1_YECMCQ																																																																	2015-11-19-PRIMATES-NOBIN-1_URTNH5									
Mirza zaza																										2015-11-19-PRIMATES-NOBIN-1_B3KPAK						2015-11-19-PRIMATES-NOBIN-1_0UM2ES										2015-11-19-PRIMATES-NOBIN-1_O6MP1F																																																													
Macaca pagensis																		2015-11-19-PRIMATES-NOBIN-1_U8SBBY																																																							2015-11-19-PRIMATES-NOBIN-1_Q8HEBK																										2015-11-19-PRIMATES-NOBIN-1_VKF1YK				
Callithrix humilis																																		2015-11-19-PRIMATES-NOBIN-1_1H9ZET									2015-11-19-PRIMATES-NOBIN-1_915D35																															2015-11-19-PRIMATES-NOBIN-1_562FU3																													
Callithrix melanura						2015-11-19-PRIMATES-NOBIN-1_ITVDCC																																																																						2015-11-19-PRIMATES-NOBIN-1_X6R8YA	2015-11-19-PRIMATES-NOBIN-1_SRNVLL																										
Cercocebus galeritus	2015-11-19-PRIMATES-NOBIN-1_W82MJP																																																																													2015-11-19-PRIMATES-NOBIN-1_GJO7YE																								2015-11-19-PRIMATES-NOBIN-1_YWGN8Q	
Cheirogaleus crossleyi																										2015-11-19-PRIMATES-NOBIN-1_70661I						2015-11-19-PRIMATES-NOBIN-1_FO78UU																2015-11-19-PRIMATES-NOBIN-1_98BEVD																																																							
Alouatta guariba																																								2015-11-19-PRIMATES-NOBIN-1_6LX88P				2015-11-19-PRIMATES-NOBIN-1_Z7PQQE																																2015-11-19-PRIMATES-NOBIN-1_AAUP1X	2015-11-19-PRIMATES-NOBIN-1_Y7MHJ6																										
Galago alleni			2015-11-19-PRIMATES-NOBIN-1_4U23K8							2015-11-19-PRIMATES-NOBIN-1_9MDW9Z																			2015-11-19-PRIMATES-NOBIN-1_VO7A3T																																																																								2015-11-19-PRIMATES-NOBIN-1_EWBDBX		
Allocebus trichotis																																										2015-11-19-PRIMATES-NOBIN-1_MMHNT9																																																			2015-11-19-PRIMATES-NOBIN-1_WL5HBQ		2015-11-19-PRIMATES-NOBIN-1_N0VCXG	2015-11-19-PRIMATES-NOBIN-1_OAOULG							
Chiropotes albinasus				2015-11-19-PRIMATES-NOBIN-1_BPTVJE																																																									2015-11-19-PRIMATES-NOBIN-1_BHJ6P1															2015-11-19-PRIMATES-NOBIN-1_O341J1	2015-11-19-PRIMATES-NOBIN-1_9LC6LL																										
Tarsius tarsier																																			2015-11-19-PRIMATES-NOBIN-1_K4TSDE																	2015-11-19-PRIMATES-NOBIN-1_BI72R6					2015-11-19-PRIMATES-NOBIN-1_T5EOSQ																										2015-11-19-PRIMATES-NOBIN-1_G1HEEV																				
Alouatta pigra																				2015-11-19-PRIMATES-NOBIN-1_R9FSX8																				2015-11-19-PRIMATES-NOBIN-1_25Y2U7				2015-11-19-PRIMATES-NOBIN-1_4F5H0W									2015-11-19-PRIMATES-NOBIN-1_7LRHPL																			2015-11-19-PRIMATES-NOBIN-1_1DZDWS																															
Nycticebus menagensis		2015-11-19-PRIMATES-NOBIN-1_VRJ8C9																									2015-11-19-PRIMATES-NOBIN-1_NTE3EF		2015-11-19-PRIMATES-NOBIN-1_FPBE93												2015-11-19-PRIMATES-NOBIN-1_8FFAF3																					2015-11-19-PRIMATES-NOBIN-1_1KP3LJ																																									
Nycticebus javanicus		2015-11-19-PRIMATES-NOBIN-1_4JESEW																									2015-11-19-PRIMATES-NOBIN-1_DYQZP3		2015-11-19-PRIMATES-NOBIN-1_RSOUGN												2015-11-19-PRIMATES-NOBIN-1_273GOK																					2015-11-19-PRIMATES-NOBIN-1_2BOJTU																																									
Macaca brunnescens																		2015-11-19-PRIMATES-NOBIN-1_JT57H3																																																						2015-11-19-PRIMATES-NOBIN-1_M50P68	2015-11-19-PRIMATES-NOBIN-1_Z32AP5								2015-11-19-PRIMATES-NOBIN-1_K1PLDY				2015-11-19-PRIMATES-NOBIN-1_7S8MQB																		
Callithrix mauesi						2015-11-19-PRIMATES-NOBIN-1_F3QKBO													2015-11-19-PRIMATES-NOBIN-1_DVCCB2																			2015-11-19-PRIMATES-NOBIN-1_D2D400					2015-11-19-PRIMATES-NOBIN-1_7X8GLJ																															2015-11-19-PRIMATES-NOBIN-1_W64B7C																													
Callithrix emiliae																																													2015-11-19-PRIMATES-NOBIN-1_DW9VZ6																		2015-11-19-PRIMATES-NOBIN-1_KLGETY													2015-11-19-PRIMATES-NOBIN-1_VZH2FY	2015-11-19-PRIMATES-NOBIN-1_HQ7AS0		2015-11-19-PRIMATES-NOBIN-1_82LE32																								
Hapalemur aureus																													2015-11-19-PRIMATES-NOBIN-1_T9QX3Z							2015-11-19-PRIMATES-NOBIN-1_K3P6RT						2015-11-19-PRIMATES-NOBIN-1_OVRR85																											2015-11-19-PRIMATES-NOBIN-1_7WZPWP		2015-11-19-PRIMATES-NOBIN-1_R5ZMAG																																
Microcebus macarthurii					2015-11-19-PRIMATES-NOBIN-1_1HICKT																											2015-11-19-PRIMATES-NOBIN-1_4XMGP2																																																								2015-11-19-PRIMATES-NOBIN-1_FZHBPY	2015-11-19-PRIMATES-NOBIN-1_VK4W45	2015-11-19-PRIMATES-NOBIN-1_RWJWK0													
Saimiri oerstedii						2015-11-19-PRIMATES-NOBIN-1_W0173B						2015-11-19-PRIMATES-NOBIN-1_S6SEYC																																																2015-11-19-PRIMATES-NOBIN-1_S32L4W				2015-11-19-PRIMATES-NOBIN-1_67FWKC								2015-11-19-PRIMATES-NOBIN-1_JO280Q																															
Rungwecebus kipunji	2015-11-19-PRIMATES-NOBIN-1_NUCX6Y													2015-11-19-PRIMATES-NOBIN-1_VKSJJ6																																	2015-11-19-PRIMATES-NOBIN-1_PGMD1A																				2015-11-19-PRIMATES-NOBIN-1_2CA42K	2015-11-19-PRIMATES-NOBIN-1_EBZCQK																																			
Avahi occidentalis												2015-11-19-PRIMATES-NOBIN-1_6HWO9Y			2015-11-19-PRIMATES-NOBIN-1_IIUE2N														2015-11-19-PRIMATES-NOBIN-1_ZDMC3E			2015-11-19-PRIMATES-NOBIN-1_L46ACL										2015-11-19-PRIMATES-NOBIN-1_BL6QXK																																																													
Cercopithecus solatus														2015-11-19-PRIMATES-NOBIN-1_GKJIC0		2015-11-19-PRIMATES-NOBIN-1_R927OM				2015-11-19-PRIMATES-NOBIN-1_JI88T4					2015-11-19-PRIMATES-NOBIN-1_3RJ8LG																																							2015-11-19-PRIMATES-NOBIN-1_N1N9AT						2015-11-19-PRIMATES-NOBIN-1_49OJZ0																											2015-11-19-PRIMATES-NOBIN-1_5WQP12						
