del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/11095530-376911-40-subtree-replicated.fa	0	0	0	0	180	8	0.75	122222,13557,9447,867377,122223,9510,43147,57175
9	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/110611710-9526-831-subtree-replicated.fa	0.0489642184557439	8.66666666666667	0	0	177	3	0.943502824858757	9589,147650,9507
3	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/100290422-9443-1498-subtree-replicated.fa	0.006426735218509	2.5	0	0	389	8	0.938303341902314	36231,9507,129801,70928,27679,57176,30609,1126382
7	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/100290544-9526-610-subtree-replicated.fa	0.00330812854442344	1.75	0	0	529	8	0.975425330812854	36231,9507,129801,70928,27679,57176,30609,1126382
21.6	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/109723017-314293-531-subtree-replicated.fa	0.0488997555012225	20	0	0	409	9	0.973105134474328	57374,75566,9588,111174,78454,9483,54602,43147,261736
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	3	0.923623445825932	9600,36227,261739
13.3333333333333	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/114224851-376913-641-subtree-replicated.fa	0.0206757438224912	13.6666666666667	0	0	661	3	0.989409984871407	90382,356666,291259
42.2	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/114224808-314293-572-subtree-replicated.fa	0.494137353433836	295	285	1	597	3	0.993299832495812	90382,356666,291259
1.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/100290484-9526-608-subtree-replicated.fa	0.00845410628019324	5.25	3	2	621	8	0.77133655394525	36231,9507,129801,70928,27679,57176,30609,1126382
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-1/100290566-9569-91-subtree-replicated.fa	0	0	0	0	700	7	0.964285714285714	230833,30602,1194336,57175,261736,9463,9515
