taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	16S-ribosomal-RNA	unknown.8	16S-ribosomal-RNA.1	unknown.9	16S-ribosomal-RNA.2	16S-ribosomal-RNA.3	16S-ribosomal-RNA.4	16S-ribosomal-RNA.5	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	unknown.30	unknown.31	unknown.32	
Mirza zaza											2015-11-19-PRIMATES-NOBIN-1_B3KPAK				2015-11-19-PRIMATES-NOBIN-1_0UM2ES					2015-11-19-PRIMATES-NOBIN-1_O6MP1F																				
Cheirogaleus crossleyi											2015-11-19-PRIMATES-NOBIN-1_70661I				2015-11-19-PRIMATES-NOBIN-1_FO78UU						2015-11-19-PRIMATES-NOBIN-1_98BEVD																			
Chlorocebus cynosuros						2015-11-19-PRIMATES-NOBIN-1_Z146W2		2015-11-19-PRIMATES-NOBIN-1_JBOPIL																							2015-11-19-PRIMATES-NOBIN-1_C8JMNX									
Galagoides zanzibaricus	2015-11-19-PRIMATES-NOBIN-1_7H06BT												2015-11-19-PRIMATES-NOBIN-1_YECMCQ																							2015-11-19-PRIMATES-NOBIN-1_URTNH5				
Allocebus trichotis																				2015-11-19-PRIMATES-NOBIN-1_MMHNT9																	2015-11-19-PRIMATES-NOBIN-1_N0VCXG	2015-11-19-PRIMATES-NOBIN-1_OAOULG		
Galago alleni	2015-11-19-PRIMATES-NOBIN-1_4U23K8				2015-11-19-PRIMATES-NOBIN-1_9MDW9Z								2015-11-19-PRIMATES-NOBIN-1_VO7A3T																											
Tarsius tarsier																	2015-11-19-PRIMATES-NOBIN-1_K4TSDE							2015-11-19-PRIMATES-NOBIN-1_BI72R6		2015-11-19-PRIMATES-NOBIN-1_T5EOSQ														
Chiropotes albinasus		2015-11-19-PRIMATES-NOBIN-1_BPTVJE																														2015-11-19-PRIMATES-NOBIN-1_O341J1	2015-11-19-PRIMATES-NOBIN-1_9LC6LL							
Rungwecebus kipunji						2015-11-19-PRIMATES-NOBIN-1_VKSJJ6																							2015-11-19-PRIMATES-NOBIN-1_2CA42K	2015-11-19-PRIMATES-NOBIN-1_EBZCQK										
Hapalemur aureus													2015-11-19-PRIMATES-NOBIN-1_T9QX3Z					2015-11-19-PRIMATES-NOBIN-1_K3P6RT		2015-11-19-PRIMATES-NOBIN-1_OVRR85																				
