taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	
Chiropotes albinasus						2015-11-23-clusters-1_SF75QS																							2015-11-23-clusters-1_KKV61Z	2015-11-23-clusters-1_DA0A4E										
Chlorocebus cynosuros																			2015-11-23-clusters-1_EYZFAC			2015-11-23-clusters-1_18TSLC										2015-11-23-clusters-1_T3JA3I								
Indri indri									2015-11-23-clusters-1_VD2KCA								2015-11-23-clusters-1_9GGSP3																2015-11-23-clusters-1_CBRMR8							
Galagoides zanzibaricus		2015-11-23-clusters-1_KG4YKV																															2015-11-23-clusters-1_ZXD589					2015-11-23-clusters-1_OTSF6C		
Galago alleni	2015-11-23-clusters-1_Y800N7	2015-11-23-clusters-1_8BSIV7																															2015-11-23-clusters-1_I2TE2Q							
Phaner furcifer																																				2015-11-23-clusters-1_PVFN0S	2015-11-23-clusters-1_WJWFYU		2015-11-23-clusters-1_KXVJUO	
Mirza zaza										2015-11-23-clusters-1_VWKMC5			2015-11-23-clusters-1_0FMFI8				2015-11-23-clusters-1_JEXEDB			2015-11-23-clusters-1_RM4MZZ																				
Cheirogaleus crossleyi										2015-11-23-clusters-1_X2XFSB			2015-11-23-clusters-1_BC1T0S							2015-11-23-clusters-1_YF68ZD																				
Hapalemur aureus																	2015-11-23-clusters-1_DOPPLY	2015-11-23-clusters-1_NVVK3I															2015-11-23-clusters-1_4NC90E							
Avahi occidentalis									2015-11-23-clusters-1_RVRZW1				2015-11-23-clusters-1_RGLLEZ				2015-11-23-clusters-1_E8KMWZ																2015-11-23-clusters-1_J79SHE							
Tarsius tarsier												2015-11-23-clusters-1_5GD7F9								2015-11-23-clusters-1_P78JXG					2015-11-23-clusters-1_69C63R															
Cercopithecus preussi																2015-11-23-clusters-1_PB46YN			2015-11-23-clusters-1_B2SDVY			2015-11-23-clusters-1_2LY5N8																		
Euoticus elegantulus	2015-11-23-clusters-1_JUF92N	2015-11-23-clusters-1_244MCD																															2015-11-23-clusters-1_DJZQJB							
Rungwecebus kipunji								2015-11-23-clusters-1_UZ5SS7											2015-11-23-clusters-1_GJTHFF									2015-11-23-clusters-1_G13CW2												
Hoolock leuconedys																							2015-11-23-clusters-1_E7NJ80	2015-11-23-clusters-1_1QY92F										2015-11-23-clusters-1_T7M59X						
Cercopithecus hamlyni								2015-11-23-clusters-1_K4TSDE											2015-11-23-clusters-1_US4BGZ			2015-11-23-clusters-1_XVBYJV																		
Simias concolor											2015-11-23-clusters-1_G4QX1G										2015-11-23-clusters-1_C6BQBX	2015-11-23-clusters-1_4GQ8Y2																		
Procolobus verus											2015-11-23-clusters-1_2XKVCT										2015-11-23-clusters-1_GZS0PD	2015-11-23-clusters-1_VAPXXM																		
Hapalemur simus																	2015-11-23-clusters-1_7R3Y73	2015-11-23-clusters-1_ENBON5															2015-11-23-clusters-1_DC951G							
Gorilla beringei			2015-11-23-clusters-1_Z2CU09	2015-11-23-clusters-1_4Q9WET	2015-11-23-clusters-1_ZIHIT1																																			
Saimiri ustus																										2015-11-23-clusters-1_ATUK2U					2015-11-23-clusters-1_EINC4U				2015-11-23-clusters-1_BRQPRW					
Lophocebus albigena							2015-11-23-clusters-1_KCCHOM	2015-11-23-clusters-1_4W4OI2											2015-11-23-clusters-1_M8OXM4			2015-11-23-clusters-1_0RGOK4																		
Microcebus rufus										2015-11-23-clusters-1_9K1A40			2015-11-23-clusters-1_W5L64P				2015-11-23-clusters-1_K3QXZN			2015-11-23-clusters-1_CA1DJT													2015-11-23-clusters-1_XL16ML		2015-11-23-clusters-1_VPXGA6					
Cheirogaleus major										2015-11-23-clusters-1_PGMD1A			2015-11-23-clusters-1_5YHNLI				2015-11-23-clusters-1_Y5BIBI	2015-11-23-clusters-1_VA9RIV		2015-11-23-clusters-1_NMK67X	2015-11-23-clusters-1_BA8QCF												2015-11-23-clusters-1_Z6NP0L							
Galagoides demidoff	2015-11-23-clusters-1_67RGD8	2015-11-23-clusters-1_NGU16R											2015-11-23-clusters-1_RDUIO5																				2015-11-23-clusters-1_LKHN7A					2015-11-23-clusters-1_PZ03IH		
Cacajao rubicundus														2015-11-23-clusters-1_648XHH	2015-11-23-clusters-1_XKG9BM																			2015-11-23-clusters-1_Z6G1FM						
Varecia variegata							2015-11-23-clusters-1_H51P3B									2015-11-23-clusters-1_AYW0E8																	2015-11-23-clusters-1_2XKVZJ							
Chiropotes satanas						2015-11-23-clusters-1_ZO3LU9					2015-11-23-clusters-1_1ULTZM																			2015-11-23-clusters-1_0LA0P7				2015-11-23-clusters-1_6NOGJR						
Varecia rubra										2015-11-23-clusters-1_0PO8XO			2015-11-23-clusters-1_MP4237				2015-11-23-clusters-1_N0O40F			2015-11-23-clusters-1_H37KM3	2015-11-23-clusters-1_T1FR29					2015-11-23-clusters-1_MJMDHZ					2015-11-23-clusters-1_K3T29A		2015-11-23-clusters-1_8O4ILQ							
Lepilemur jamesi												2015-11-23-clusters-1_JWT5RJ								2015-11-23-clusters-1_DOIV82					2015-11-23-clusters-1_8EM4NF	2015-11-23-clusters-1_NWE46S					2015-11-23-clusters-1_MF26O3				2015-11-23-clusters-1_42R1XM					
Brachyteles hypoxanthus																				2015-11-23-clusters-1_Z6OPCC	2015-11-23-clusters-1_Z5IQLM				2015-11-23-clusters-1_5N6SS2	2015-11-23-clusters-1_GCM8WN					2015-11-23-clusters-1_EN3DXP				2015-11-23-clusters-1_6HD8MP					
Cacajao melanocephalus																				2015-11-23-clusters-1_WQETCF	2015-11-23-clusters-1_1JEAYE				2015-11-23-clusters-1_ISN4X2				2015-11-23-clusters-1_1LY4CN	2015-11-23-clusters-1_T7REMK	2015-11-23-clusters-1_1CDR0E				2015-11-23-clusters-1_OQ44Y1					
Ateles hybridus												2015-11-23-clusters-1_LJ35YI								2015-11-23-clusters-1_PJ4VLO	2015-11-23-clusters-1_9IT8YW	2015-11-23-clusters-1_340SVV			2015-11-23-clusters-1_51HOMA	2015-11-23-clusters-1_5K1SS3					2015-11-23-clusters-1_2MSPP5				2015-11-23-clusters-1_3ZID7L					
Lepilemur ankaranensis												2015-11-23-clusters-1_OH5C70					2015-11-23-clusters-1_ZWTASY			2015-11-23-clusters-1_OPZ003					2015-11-23-clusters-1_QNIBUN	2015-11-23-clusters-1_33EEW9							2015-11-23-clusters-1_IQA1RV		2015-11-23-clusters-1_NRAL9P					
Semnopithecus hector												2015-11-23-clusters-1_O5FIYP								2015-11-23-clusters-1_VLDZRC	2015-11-23-clusters-1_LXDM3R				2015-11-23-clusters-1_K6RI4E	2015-11-23-clusters-1_Y282NE					2015-11-23-clusters-1_748TXY				2015-11-23-clusters-1_0OQMMF					
Presbytis comata												2015-11-23-clusters-1_MWY561								2015-11-23-clusters-1_VXA9N6	2015-11-23-clusters-1_9DFRQO				2015-11-23-clusters-1_1JOYT4	2015-11-23-clusters-1_9H241I	2015-11-23-clusters-1_0VLOLN				2015-11-23-clusters-1_A8D9AG				2015-11-23-clusters-1_VEA5EE					
Arctocebus calabarensis												2015-11-23-clusters-1_2FG4NT								2015-11-23-clusters-1_9FXTTI					2015-11-23-clusters-1_NDOWQ3	2015-11-23-clusters-1_FFGQOV					2015-11-23-clusters-1_IRLOHQ		2015-11-23-clusters-1_NZMO4K		2015-11-23-clusters-1_DMRKQP			2015-11-23-clusters-1_CKNSRI		
Cebus xanthosternos												2015-11-23-clusters-1_OI542D								2015-11-23-clusters-1_AU4MHH	2015-11-23-clusters-1_5BY6DT	2015-11-23-clusters-1_2IYYXY			2015-11-23-clusters-1_IVX279	2015-11-23-clusters-1_9C1VYS			2015-11-23-clusters-1_2II2LY	2015-11-23-clusters-1_AVATBI	2015-11-23-clusters-1_FVHNT6				2015-11-23-clusters-1_J65WHF					
Lagothrix cana												2015-11-23-clusters-1_KWU9OY								2015-11-23-clusters-1_SMD3AK		2015-11-23-clusters-1_GXB7Y1			2015-11-23-clusters-1_WU5A59	2015-11-23-clusters-1_QPT0Y8					2015-11-23-clusters-1_Q792PE				2015-11-23-clusters-1_VCGLGA					
Saimiri boliviensis						2015-11-23-clusters-1_9SNE79		2015-11-23-clusters-1_24294I																2015-11-23-clusters-1_FP2G4H																
Miopithecus talapoin							2015-11-23-clusters-1_R1FMZ4	2015-11-23-clusters-1_Z89YKY								2015-11-23-clusters-1_LDH2EZ			2015-11-23-clusters-1_ZCYS09			2015-11-23-clusters-1_WGU4R9					2015-11-23-clusters-1_4JEZF5													
Trachypithecus delacouri												2015-11-23-clusters-1_AUNHSD								2015-11-23-clusters-1_DCY6CU	2015-11-23-clusters-1_XC9EEZ	2015-11-23-clusters-1_AD4UGK			2015-11-23-clusters-1_HZBWIF	2015-11-23-clusters-1_JV2MSQ					2015-11-23-clusters-1_HKIIPG				2015-11-23-clusters-1_K23HRZ					
Pygathrix cinerea												2015-11-23-clusters-1_RLIBUY								2015-11-23-clusters-1_4SA66H	2015-11-23-clusters-1_4NG0N0	2015-11-23-clusters-1_29D4QX			2015-11-23-clusters-1_0IKWQN	2015-11-23-clusters-1_7QDRBO					2015-11-23-clusters-1_IGCEHZ				2015-11-23-clusters-1_90O9Y3					
Nycticebus bengalensis																				2015-11-23-clusters-1_4UZTV6					2015-11-23-clusters-1_UGFA5M	2015-11-23-clusters-1_8PX76D					2015-11-23-clusters-1_CAGMJN		2015-11-23-clusters-1_QSGXMH		2015-11-23-clusters-1_Y7LXEU					
Avahi laniger									2015-11-23-clusters-1_Z7PQQE			2015-11-23-clusters-1_4EJABX	2015-11-23-clusters-1_WASMG8				2015-11-23-clusters-1_I6JVVH			2015-11-23-clusters-1_WXDO0G					2015-11-23-clusters-1_3MWXVB	2015-11-23-clusters-1_QPRDVM					2015-11-23-clusters-1_E3VYNS		2015-11-23-clusters-1_T9EX7O		2015-11-23-clusters-1_UCXF0L					
Pongo abelii			2015-11-23-clusters-1_8KDJ7R	2015-11-23-clusters-1_Y9J89X	2015-11-23-clusters-1_VPIYK6			2015-11-23-clusters-1_WGO00D			2015-11-23-clusters-1_3VVJHO					2015-11-23-clusters-1_JA032B					2015-11-23-clusters-1_CK7SD8	2015-11-23-clusters-1_UKW8S4	2015-11-23-clusters-1_XW0WE1	2015-11-23-clusters-1_LKF7PV										2015-11-23-clusters-1_JNSZVN						
Eulemur albifrons										2015-11-23-clusters-1_3HQS9G		2015-11-23-clusters-1_DG4Y60	2015-11-23-clusters-1_53FUAW				2015-11-23-clusters-1_PF79SR	2015-11-23-clusters-1_L00DU5		2015-11-23-clusters-1_0U8Z5M	2015-11-23-clusters-1_HOTFJY				2015-11-23-clusters-1_C1CU83	2015-11-23-clusters-1_BN8CS2					2015-11-23-clusters-1_CHCAND		2015-11-23-clusters-1_B7OJTS		2015-11-23-clusters-1_9OB4MU					
