taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	
Varecia variegata	PRIMATES-1_0ZWSTR	PRIMATES-1_W5MB1S					PRIMATES-1_U875W1				PRIMATES-1_JZ49BG		
Varecia rubra			PRIMATES-1_XSJOY3						PRIMATES-1_NGNWOP	PRIMATES-1_8LVAXO		PRIMATES-1_443PLN	
Colobus angolensis	PRIMATES-1_V2ZGFM		PRIMATES-1_BP2YTF	PRIMATES-1_MYBDRV		PRIMATES-1_7K868Q				PRIMATES-1_3M5ACX			
Trachypithecus auratus			PRIMATES-1_EEUJBW			PRIMATES-1_F0O2TQ	PRIMATES-1_SLR23O		PRIMATES-1_GH50SI	PRIMATES-1_U9LIPG			
Callicebus donacophilus		PRIMATES-1_RUUBB4	PRIMATES-1_DKMVXR	PRIMATES-1_T1RWGA				PRIMATES-1_49SE51			PRIMATES-1_E2Y0FC		
Mandrillus leucophaeus	PRIMATES-1_A8D9AG	PRIMATES-1_E0UDE1						PRIMATES-1_5UMZKA	PRIMATES-1_PYX2Y4				
Mandrillus sphinx	PRIMATES-1_G5X7JU		PRIMATES-1_GBXOKI			PRIMATES-1_NFJWSN			PRIMATES-1_NMK67X	PRIMATES-1_W5874Z		PRIMATES-1_CCNPOD	
Cebus libidinosus							PRIMATES-1_NWR2XF				PRIMATES-1_ML4EQH	PRIMATES-1_1ZY22T	
Pygathrix cinerea				PRIMATES-1_I1PD5X	PRIMATES-1_ZV9NT2	PRIMATES-1_JVUHVL							
Cheirogaleus major	PRIMATES-1_G0FIZO	PRIMATES-1_V47MCM								PRIMATES-1_3VHCL0			
Cheirogaleus crossleyi	PRIMATES-1_5NFOUV	PRIMATES-1_194VY2	PRIMATES-1_7CVL3U							PRIMATES-1_9NIBZA			
Procolobus verus		PRIMATES-1_ZHDHCG	PRIMATES-1_JCQZ0Y			PRIMATES-1_N472CC	PRIMATES-1_RWFY50			PRIMATES-1_9US6SN			
Pan paniscus		PRIMATES-1_RIQLYX			PRIMATES-1_YAELML	PRIMATES-1_BC1WS6		PRIMATES-1_ZHUY7H		PRIMATES-1_8PNXS0	PRIMATES-1_WCUQKG		
Cebus xanthosternos							PRIMATES-1_KJ5HLW			PRIMATES-1_BDH93Q	PRIMATES-1_HQL7M2		
Leontopithecus chrysomelas	PRIMATES-1_EZ5I16		PRIMATES-1_BRJQC8	PRIMATES-1_0L6QOZ			PRIMATES-1_LP5WT4	PRIMATES-1_FZWH9B			PRIMATES-1_B9QG7M		
Callithrix kuhlii	PRIMATES-1_NWBTN4	PRIMATES-1_AL6YOL		PRIMATES-1_8XHHEI				PRIMATES-1_E3W3WY			PRIMATES-1_AIHTV0		
Nycticebus bengalensis		PRIMATES-1_9S4ERT					PRIMATES-1_P5KLN7			PRIMATES-1_6PIAXJ			
Rhinopithecus roxellana		PRIMATES-1_F0S1VW				PRIMATES-1_4QCDIV		PRIMATES-1_5A6SQC	PRIMATES-1_BLKCGQ	PRIMATES-1_HQY9TX	PRIMATES-1_ND85BI	PRIMATES-1_ASQ5QN	
Saguinus martinsi	PRIMATES-1_JRPXAD	PRIMATES-1_4MQK7I						PRIMATES-1_ZCGDEX		PRIMATES-1_PTVAQC			
Cercocebus agilis			PRIMATES-1_090LHR	PRIMATES-1_EQFYZQ		PRIMATES-1_1RNJSP				PRIMATES-1_VDY3TF			
Cercopithecus ascanius	PRIMATES-1_E88188	PRIMATES-1_66M9TK				PRIMATES-1_QUWH3C			PRIMATES-1_BJX40G	PRIMATES-1_C4C6XX		PRIMATES-1_45362P	
Nomascus gabriellae	PRIMATES-1_8KJI5O		PRIMATES-1_L8UJDP		PRIMATES-1_LYCAZO		PRIMATES-1_KG22EJ					PRIMATES-1_M0FNRA	
Mirza zaza	PRIMATES-1_ML6DEF	PRIMATES-1_YF4BJS	PRIMATES-1_XSTN3W	PRIMATES-1_NEF95R		PRIMATES-1_THORZ6					PRIMATES-1_NU9MX5		
Papio papio		PRIMATES-1_F1P1N0				PRIMATES-1_7LRHPL	PRIMATES-1_FLRTE6				PRIMATES-1_EEJ7JH	PRIMATES-1_9SWE7I	
