del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
5	2	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/100290544-9526-610-subtree.fa	0.00613207547169811	3.25	1	1	530	4	0.956603773584906	9606,9600,9580,54131
3	7	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/100290422-9443-1498-subtree.fa	0.0134961439588689	5.25	0	0	389	4	0.920308483290488	9606,9600,9580,54131
6.4	14	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/1008471-314293-267-subtree.fa	0.0696798493408663	37	0	0	531	2	0.830508474576271	9490,9606
3.66666666666667	4	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/100290459-9526-607-subtree.fa	0.0350467289719626	26.25	9	6	749	4	0.854472630173565	9606,9600,9580,54131
9	1	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/100290566-9569-91-subtree.fa	0.00597439544807966	4.2	3	1	703	5	0.961593172119488	164648,78451,43780,54181,88029
0	0	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/110611710-9578-33-subtree.fa	0.00946745562130177	1.6	2	1	169	5	0.964497041420118	9579,81572,9587,9588,9580
11.1428571428571	12	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/100290397-314293-948-subtree.fa	0.0767613038906414	73	16.25	5	951	5	0.858044164037855	9606,9600,9580,54131,27679
3	1	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/10442540-9476-8-subtree.fa	0.106124161073826	126.5	0	0	1192	2	0.98741610738255	9477,9478
2	2	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/1066287-38068-100-subtree.fa	0.00754716981132075	4	0	0	530	2	0.952830188679245	9519,30594
6.66666666666667	3	/home/hannesh/glob/git/phylo-primates-sim/data/alignments/110611710-9526-831-subtree.fa	0.025	4.5	1	1	180	6	0.905555555555556	9598,9597,9593,9600,9590,9542
