del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
2.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/11095530-376911-40-subtree-replicated.fa	0.00634920634920635	1.14285714285714	0	0	180	7	0.755555555555556	9561,61621,310932,9525,70825,70927,9455
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/11275634-542827-6-subtree-replicated.fa	0	0	0	0	318	2	1	57374,693984
2	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290422-9443-1498-subtree-replicated.fa	0.0077120822622108	3	0	0	389	4	0.948586118251928	101278,36225,61621,61622
9	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/110611710-9526-831-subtree-replicated.fa	0.0290556900726392	5.14285714285714	0	0	177	7	0.937853107344633	9565,371039,61622,9556,9555,198627,867363
14.3333333333333	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/109723017-314293-531-subtree-replicated.fa	0.0586206896551724	23.8	0	0	406	5	0.977832512315271	43777,693984,554167,867333,202457
7	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290544-9526-610-subtree-replicated.fa	0.00330812854442344	1.75	0	0	529	4	0.967863894139887	101278,36225,61621,61622
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/11065801-9526-446-subtree-replicated.fa	0.180952380952381	67.8571428571429	25	3	375	14	0.962666666666667	867333,543559,37295,54133,48842,415757,9463,30611,9455,70927,147650,9541,40843,767357
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224851-376913-641-subtree-replicated.fa	0	0	0	0	661	2	0.990922844175492	57374,752538
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290566-9569-91-subtree-replicated.fa	0.00284495021337127	2	3	1	703	3	0.971550497866287	90383,34827,9488
1	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290484-9526-608-subtree-replicated.fa	0.0020259319286872	1.25	0	0	617	4	0.792544570502431	101278,36225,61621,61622
2.75	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/11275634-9526-445-subtree-replicated.fa	0.430573069917332	236.384615384615	36.3333333333333	5	549	13	0.943533697632058	9447,867334,221704,182256,9515,9530,412752,30596,36223,78449,9545,54602,57175
3.66666666666667	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290459-9526-607-subtree-replicated.fa	0.0121696801112656	8.75	1	1	719	4	0.915159944367177	101278,36225,61621,61622
87	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/112443169-9528-109-subtree-replicated.fa	0.266747868453106	219	66	3	821	3	0.985383678440926	460675,34828,48842
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225035-9528-267-subtree-replicated.fa	0	0	0	0	249	2	1	57374,752538
7	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290437-9526-606-subtree-replicated.fa	0.0733253588516747	61.3	23.6666666666667	5	836	10	0.901913875598086	9478,61621,61622,9472,36223,9593,75567,255237,310932,261741
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225164-9528-273-subtree-replicated.fa	0.00226244343891403	0.5	0	0	221	2	0.990950226244344	57374,752538
11.8333333333333	11	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/100290397-314293-948-subtree-replicated.fa	0.0450686641697878	40.1111111111111	4	2	890	9	0.901123595505618	81572,70825,111173,1127763,9482,66062,224329,9556,9555
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	5	0.934280639431616	90384,54600,9551,9542,90383
31.3571428571429	16	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224873-9533-15-subtree-replicated.fa	0.219789473684211	104.4	14	1	475	5	0.738947368421053	57374,261736,693984,9472,9502
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/10442522-9462-14-subtree-replicated.fa	0.139321723189734	152	152	1	1091	2	0.998166819431714	70825,9478
10	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224907-9533-169-subtree-replicated.fa	0.00744047619047619	5	0	0	672	2	0.985119047619048	693984,57374
11.5	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224906-9533-17-subtree-replicated.fa	0.0200892857142857	13.5	1	1	672	2	0.87202380952381	693984,57374
2.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224928-376913-650-subtree-replicated.fa	0.00273672687465791	1.66666666666667	0	0	609	6	0.967159277504105	356665,52232,143354,548481,122248,61622
1	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225256-376913-585-subtree-replicated.fa	0.00570342205323194	1.5	0	0	263	2	0.984790874524715	693984,57374
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225005-376913-653-subtree-replicated.fa	0.000483091787439614	0.333333333333333	0	0	690	6	0.973913043478261	356665,52232,143354,548481,122248,61622
45.75	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/11065802-314293-442-subtree-replicated.fa	0.518924936386768	407.875	194	2	786	16	0.970737913486005	9568,371039,543559,9565,867334,70814,37295,9588,9491,43778,30602,486960,402888,90384,57176,9470
14.2857142857143	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114224988-314293-575-subtree-replicated.fa	0.108950617283951	70.6	22.5	2	648	5	0.893518518518518	57374,261736,693984,9472,9502
10	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225014-9528-266-subtree-replicated.fa	0.0106186518928901	7.66666666666667	0	0	722	6	0.977839335180055	356665,52232,143354,548481,122248,61622
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-9/114225038-314294-268-subtree-replicated.fa	0	0	0	0	625	6	0.9936	356665,52232,143354,548481,122248,61622
